what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424234456686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234458377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234699344
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424234701557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234721512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234734577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424234737789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424234745869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424234753028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234767531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234769081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234774360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234774377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234775824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234787006
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424234787021
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424234803757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424234814459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424234848937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424234849566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424234849937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234877292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234878802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234888410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234888429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234889842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234899648
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424234899675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424234912666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424234922051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424235201145
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424235207889
error,log,,,"Problems cleaning up history store.",1424235208035
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1424235208215
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1424235208216
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1424235208216
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1424235208217
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1424235208218
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1424235208218
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1424235208219
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1424235208219
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1424235208227
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1424235208227
